timestamp,pod,metric,value,label,fault_service
0,adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0,normal,none
0,adservice-7c8b9f944-b7rfw,cpu_usage,0.00039509,normal,none
0,adservice-7c8b9f944-b7rfw,fs_read_bytes,0,normal,none
0,adservice-7c8b9f944-b7rfw,fs_write_bytes,0,normal,none
0,adservice-7c8b9f944-b7rfw,memory_cache,3108864,normal,none
0,adservice-7c8b9f944-b7rfw,memory_rss,94724096,normal,none
0,adservice-7c8b9f944-b7rfw,memory_usage,99307520,normal,none
0,adservice-7c8b9f944-b7rfw,memory_working_set,98840576,normal,none
0,adservice-7c8b9f944-b7rfw,oom_events,0,normal,none
0,adservice-7c8b9f944-b7rfw,pod_cpu_limit,0.3,normal,none
0,adservice-7c8b9f944-b7rfw,pod_cpu_request,0.2,normal,none
0,adservice-7c8b9f944-b7rfw,pod_memory_limit,314572800,normal,none
0,adservice-7c8b9f944-b7rfw,pod_memory_request,188743680,normal,none
0,adservice-7c8b9f944-b7rfw,process_count,0,normal,none
0,adservice-7c8b9f944-b7rfw,restart_count,4,normal,none
0,adservice-7c8b9f944-b7rfw,thread_count,17,normal,none
0,cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0,normal,none
0,cartservice-77f8cfdff-4gflb,cpu_usage,0.000916426,normal,none
0,cartservice-77f8cfdff-4gflb,fs_read_bytes,0,normal,none
0,cartservice-77f8cfdff-4gflb,fs_write_bytes,0,normal,none
0,cartservice-77f8cfdff-4gflb,memory_cache,29507584,normal,none
0,cartservice-77f8cfdff-4gflb,memory_rss,27615232,normal,none
0,cartservice-77f8cfdff-4gflb,memory_usage,58982400,normal,none
0,cartservice-77f8cfdff-4gflb,memory_working_set,57106432,normal,none
0,cartservice-77f8cfdff-4gflb,oom_events,0,normal,none
0,cartservice-77f8cfdff-4gflb,pod_cpu_limit,0.3,normal,none
0,cartservice-77f8cfdff-4gflb,pod_cpu_request,0.2,normal,none
0,cartservice-77f8cfdff-4gflb,pod_memory_limit,134217728,normal,none
0,cartservice-77f8cfdff-4gflb,pod_memory_request,67108864,normal,none
0,cartservice-77f8cfdff-4gflb,process_count,0,normal,none
0,cartservice-77f8cfdff-4gflb,restart_count,6,normal,none
0,cartservice-77f8cfdff-4gflb,thread_count,24,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.000282887,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,fs_read_bytes,0,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,fs_write_bytes,0,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,memory_cache,13381632,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,memory_rss,6987776,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,memory_usage,21102592,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,memory_working_set,13541376,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,oom_events,0,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,pod_cpu_limit,0.2,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,pod_cpu_request,0.1,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,pod_memory_limit,134217728,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,pod_memory_request,67108864,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,process_count,0,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,restart_count,4,normal,none
0,checkoutservice-5fcbc94d48-c8mxz,thread_count,6,normal,none
0,currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0,normal,none
0,currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.000415208,normal,none
0,currencyservice-7c5c4ccd64-8zv72,fs_read_bytes,0,normal,none
0,currencyservice-7c5c4ccd64-8zv72,fs_write_bytes,0,normal,none
0,currencyservice-7c5c4ccd64-8zv72,memory_cache,1142784,normal,none
0,currencyservice-7c5c4ccd64-8zv72,memory_rss,34332672,normal,none
0,currencyservice-7c5c4ccd64-8zv72,memory_usage,38203392,normal,none
0,currencyservice-7c5c4ccd64-8zv72,memory_working_set,37306368,normal,none
0,currencyservice-7c5c4ccd64-8zv72,oom_events,0,normal,none
0,currencyservice-7c5c4ccd64-8zv72,pod_cpu_limit,0.2,normal,none
0,currencyservice-7c5c4ccd64-8zv72,pod_cpu_request,0.1,normal,none
0,currencyservice-7c5c4ccd64-8zv72,pod_memory_limit,134217728,normal,none
0,currencyservice-7c5c4ccd64-8zv72,pod_memory_request,67108864,normal,none
0,currencyservice-7c5c4ccd64-8zv72,process_count,0,normal,none
0,currencyservice-7c5c4ccd64-8zv72,restart_count,4,normal,none
0,currencyservice-7c5c4ccd64-8zv72,thread_count,12,normal,none
0,emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0,normal,none
0,emailservice-5c4564f4db-c9pjv,cpu_usage,0.001676981,normal,none
